,Question,DomainIntent,Intent,Answer,Class
39,How are you doing?,fellowship program,greetings,Good,greetings
6,Do fellowship program offer any stipend or living accommodations?,fellowship program,stipend accomodations, We are currently helping deserving students with a monthly stipend for out of pocket expenses.,general
21,Do I have weekends off in fellowship program?,fellowship program,weekly_off  weekend, Yes you will get every week sunday off.,general
9,What is the minimum qualification for the fellowship program?,fellowship program,qualification, All the candidates need to be Engineers or MCAs with minimum 60% Aggregate and very comfortable in Coding on Data Structures.,general
16,What does the day-to-day look like?,fellowship program,daily work, From morning 8.30 AM to 7.30 PM the fellowship engineers are expected to code. In the beginning it is data structures later it is live sample app and lastly it is to develop App solving the real-world problem statement.,general
22,Do I need to pay for fellowship program?,fellowship program,admission_fees, The program is free to the fellows. You do not have to pay anything for the program. We are currently helping deserving students a stipend for out of pocket expenses for the period of the fellowship.,general
24,what is the duration of the fellowship program?,fellowship program,duration, The program is 4 months on a full-time basis.,general
42,"Hi, nice to meet you.",fellowship program,greetings,Thank you. You too.,greetings
13,How much package I get after the fellowship program?,fellowship program,package, Our fellows get salaries benchmarked with the best in the industry. The specific salary can depend on the technology being worked on – but our fellows are rated as long term material by our partner companies and get salaries on par with on-campus hires.,general
43,Bye,fellowship program,greetings,see you,greetings
7,Do fellowship program offer any package or living accommodations?,fellowship program,package, We are currently helping deserving students with a monthly stipend for out of pocket expenses.,general
8,What do I need to know to be able to get through the Hackathon?,fellowship program,coding, Try our sample MCQ questions from the Coding Café: Link This will give you an idea of what is expected of you. We look for creative problem-solving ability and basic coding proficiency. Also having some knowledge in any one of Android iOS Angular Mean or Spring Hibernate Tech Stack is a plus to qualify for the fellowship program.,general
29,What is the working hours of the training program?, fellowship, time, From morning 8.30 AM to 7.30 PM the fellowship engineers are expected to code. In the beginning it is data structures later it is live sample app and lastly it is to develop App solving the real-world problem statement.,general
2,What is the fellowship program?,fellowship program,fellowship program,Coding jobs with emerging tech product companies require confidence in everyday coding. BridgeLabz fellowship program gives engineers the chance to develop in-depth hands-on knowledge in a well-defined Tech Stack by developing real-world Apps. Also we guarantee your job with our partner product companies. ,general
31,Hi,fellowship program,greetings,Hello,greetings
40,Nice to meet you.,fellowship program,greetings,Thank you,greetings
46,Good Morning,fellowship program,greetings,Good Morning,greetings
26,What tools will fellowship engineer get a chance to work on?,fellowship program,technologies, Essentially the Tech Stack we work on are Android iOS on Native Web Apps on Angular and React Backend Servers on Java Spring Hibernate and MEAN stack. All development is done on Linux Environment and for iOS in Mac Machine. We use Heroku and AWS Cloud. We use several other tech stacks like Redis for Caching and Messaging MQTT for Push Notifications Git Repository Dagger for Dependency Injection Retrofit Volley & Alamofire for Networking Rest Calls etc,general
19,What tools will fellowship engineer get a chance to learn?,fellowship program,technologies, Essentially the Tech Stack we work on are Android iOS on Native Web Apps on Angular and React Backend Servers on Java Spring Hibernate and MEAN stack. All development is done on Linux Environment and for iOS in Mac Machine. We use Heroku and AWS Cloud. We use several other tech stacks like Redis for Caching and Messaging MQTT for Push Notifications Git Repository Dagger for Dependency Injection Retrofit Volley & Alamofire for Networking Rest Calls etc,general
32,Hii,fellowship program,greetings, Hello,greetings
37,Howdy,fellowship program,greetings,Hey,greetings
49,Good Day,fellowship program,greetings,Good Day,greetings
27,Where training will be held?,fellowship program, location, Mumbai., general
23,What does the day-to-day look like?,fellowship program,timing, From morning 8.30 AM to 7.30 PM the fellowship engineers are expected to code. In the beginning it is data structures later it is live sample app and lastly it is to develop App solving the real-world problem statement.,general
38,Whatsup,fellowship program,greetings,Nothing much,greetings
5,How do I register for the fellowship program?,fellowship program,register apply, You can register here: http://codingtest.bridgelabz.com/apply?cid=NWNiNWNiYzBjZmY0N2UwMDA2MWJiNDJk,general
12,What happens to fellows after they graduate?,fellowship program,job, We have placed more than 500 engineers till date in 100+ partner companies. We partner with product companies of all sizes working on emerging tech like Capgemini Urban Ladder Yatra.com MetricStream etc. We guarantee your job with any of our partner companies and we keep partnering with more companies every month.,general
28,How do I get admission in training program?, fellowship, action, You can register here: http://codingtest.bridgelabz.com/apply?cid=NWNiNWNiYzBjZmY0N2UwMDA2MWJiNDJk,general
10,What can I expect in the technical interview?,fellowship program,interview, The first interview depending on your skills demonstrated in your application and challenge submission will involve some or all of the following: Motivation and why you are interested in the fellowship Your answer to the Hackathon problems and the reasoning behind it. ,general
44,See you,fellowship program,greetings,Bye,greetings
1,How much does fellowship program cost?,fellowship program,admission_fees, The program is free to the fellows. You do not have to pay anything for the program. We are currently helping deserving students a stipend for out of pocket expenses for the period of the fellowship.,general
33,Hey,fellowship program,greetings,Hi,greetings
48,Good Evening,fellowship program,greetings,Good Evening,greetings
0,How long is the fellowship program?,fellowship program,duration, The program is 4 months on a full-time basis.,general
17,What percentage of the fellowship is developing real-world apps?,fellowship program,applications, 100% of fellowship engineers will be involved in developing Cloud Aware Apps solving real-world problems.,general
45,Tata,fellowship program,greetings,Bye,greetings
3,Can the fellowship program be done remotely?,fellowship program,remote work, No! We believe that interaction with the mentors and the live environment is very important for success in the fellowship program.,general
